frame,bass,low_mid,mid,high_mid,high,beat,energy
121,0.055965,0.065911,0.035117,0.009403,0.000713,0.0,0.060937
122,0.065704,0.052148,0.050232,0.011821,0.000609,0.0,0.069787
123,0.057355,0.035033,0.046683,0.009796,0.000598,0.0,0.060176
124,0.05976,0.062228,0.045575,0.026039,0.000824,0.0,0.0646
125,0.06016,0.066451,0.063694,0.023936,0.000881,0.0,0.065555
126,0.061005,0.051657,0.052116,0.01538,0.000525,0.0,0.06512
127,0.064881,0.080601,0.069045,0.010256,0.000824,0.0,0.071341
128,0.0685,0.043819,0.063103,0.00802,0.000515,0.0,0.07211
129,0.088206,0.064602,0.055931,0.009317,0.000293,0.0,0.093118
130,0.080829,0.066201,0.035355,0.008312,0.00029,0.0,0.085635
131,0.080385,0.101157,0.056518,0.007214,0.000438,0.0,0.088082
132,0.086638,0.067731,0.064234,0.010814,0.000655,0.0,0.09191
133,0.083049,0.061721,0.067428,0.006706,0.000657,0.0,0.087938
134,0.083734,0.040476,0.045967,0.011065,0.000615,0.0,0.086752
135,0.087949,0.051005,0.044016,0.010469,0.000713,0.0,0.091691
136,0.096543,0.064706,0.045414,0.008095,0.000438,0.0,0.101254
137,0.095565,0.039632,0.064341,0.018278,0.000818,0.0,0.098692
138,0.093871,0.047471,0.059184,0.018748,0.000702,0.0,0.097525
139,0.101321,0.050566,0.112421,0.006827,0.001076,0.0,0.105851
140,0.108208,0.05037,0.083545,0.015992,0.001188,0.0,0.112295
141,0.108854,0.063223,0.156833,0.013001,0.000968,0.0,0.114882
142,0.100588,0.045195,0.170125,0.009666,0.002056,0.0,0.105512
143,0.096609,0.054835,0.095024,0.009905,0.001967,0.0,0.101261
144,0.113645,0.052224,0.100898,0.012933,0.002426,0.0,0.118059
145,0.08716,0.052497,0.099878,0.011154,0.001283,0.0,0.091779
146,0.098382,0.082648,0.142207,0.022178,0.001929,0.0,0.105753
147,0.095798,0.078904,0.174363,0.017183,0.00197,0.0,0.103338
148,0.075015,0.056763,0.18178,0.011586,0.003588,0.0,0.081156
149,0.093056,0.053482,0.139059,0.031642,0.003868,0.0,0.098271
150,0.089976,0.052495,0.145418,0.02734,0.002576,0.0,0.09522
151,0.100953,0.052551,0.202637,0.043996,0.005064,0.0,0.106923
152,0.112638,0.043336,0.182389,0.05235,0.004479,0.0,0.117573
153,0.097352,0.044852,0.241427,0.031568,0.007354,0.0,0.103281
154,0.103939,0.068075,0.25401,0.04132,0.003477,0.0,0.111734
155,0.109538,0.089781,0.263518,0.031362,0.006461,0.0,0.119017
156,0.093146,0.098344,0.1043,0.063258,0.004944,0.0,0.101283
157,0.083529,0.038045,0.299625,0.062077,0.004802,0.0,0.089899
158,0.108568,0.045413,0.276288,0.051034,0.010959,0.0,0.114961
159,0.097101,0.071452,0.347282,0.034523,0.010533,0.0,0.106454
160,0.099626,0.062527,0.303689,0.055469,0.007362,0.0,0.107741
161,0.091043,0.094565,0.280759,0.049673,0.008116,0.0,0.101286
162,0.08734,0.127005,0.237138,0.040423,0.007255,0.0,0.099417
163,0.090696,0.132339,0.274691,0.047773,0.009566,0.0,0.103667
164,0.099453,0.09356,0.285757,0.064595,0.011806,0.0,0.109652
165,0.10025,0.086611,0.292419,0.061709,0.004816,0.0,0.11001
166,0.088232,0.074254,0.360033,0.052672,0.004149,0.0,0.098065
167,0.087745,0.063431,0.352943,0.057872,0.004706,0.0,0.096689
168,0.085822,0.043118,0.36035,0.056,0.006631,0.0,0.093366
169,0.079677,0.046303,0.306052,0.042225,0.005908,0.0,0.086744
170,0.086852,0.066256,0.255316,0.047034,0.004971,0.0,0.09467
171,0.074034,0.068565,0.202804,0.036485,0.002474,0.0,0.08139
172,0.081113,0.056393,0.05299,0.006944,0.000178,0.0,0.085424
173,0.086426,0.050321,0.07307,0.01422,0.002013,0.0,0.09053
174,0.077094,0.04948,0.102985,0.016395,0.001824,0.0,0.081616
175,0.093809,0.056116,0.110445,0.020037,0.002083,0.0,0.098805
176,0.078143,0.062744,0.118967,0.02011,0.002649,0.0,0.083868
177,0.085714,0.048492,0.035131,0.00775,0.000753,0.0,0.089161
178,0.098483,0.04267,0.023578,0.004384,0.00066,0.0,0.101236
179,0.095877,0.052169,0.056803,0.005231,0.001086,0.0,0.09981
180,0.084236,0.068066,0.061827,0.010163,0.000801,0.0,0.089518
181,0.083534,0.044401,0.085529,0.005779,0.000688,0.0,0.087374
182,0.091674,0.050117,0.041612,0.009729,0.000761,0.0,0.095288
183,0.08756,0.041538,0.024818,0.015146,0.000745,0.0,0.090348
184,0.083043,0.052629,0.058288,0.008579,0.000457,0.0,0.087133
185,0.088968,0.06267,0.051105,0.006917,0.000894,0.0,0.09366
186,0.094759,0.081062,0.040843,0.007194,0.00066,0.0,0.100637
187,0.089034,0.070966,0.070041,0.008392,0.000371,0.0,0.094603
188,0.083149,0.07653,0.070026,0.01156,0.00035,0.0,0.089183
189,0.080767,0.067573,0.04758,0.005707,0.000481,0.0,0.085837
190,0.083727,0.038142,0.054324,0.010056,0.000906,0.0,0.086683
191,0.076418,0.029479,0.03611,0.004582,0.000907,0.0,0.078529
